gene	amplitude	phase	mean	r2	p_value
C1orf54	0.7753192801376937	-1.276830616957443	1.6876504606934004	0.4196962143465117	0.08638718388271216
C1orf61	0.1789474979384158	-0.21345525937222748	0.11879496578954889	0.5123398459089288	0.03949369082532428
C1orf94	0.22018933861015952	1.8980160582000374	0.8746279385501396	0.33504980811932294	0.15942301585113705
C20orf166-AS1	0.17807689952194122	0.44875284971123724	0.42178481102749155	0.382824465509061	0.1139827572095774
C21orf33	-0.12903024189720094	-0.5527998022096536	0.6224933584944436	0.361519984079017	0.13278924108422463
C2orf66	0.22936297401515415	0.5461970732088743	0.38666638138829806	0.45031381513075397	0.06768878199335215
C2orf69	0.15684511164845757	-0.1485654708437698	3.513214365223444	0.8048109296014756	0.0006412830051930607
C3orf33	-0.12515602251000887	0.7059886829877989	1.7626469464591614	0.4574797274872312	0.06380752077431306
C4orf32	-0.12592081082123208	1.0127177453743965	3.327282470756081	0.34878461277431216	0.1451312519789023
C4orf33	0.25778139238099773	1.7101021571643045	1.6477634679075002	0.32905490720075714	0.16599362678514273
C4orf46	0.14911876226291168	0.5184424760452017	2.948861067706464	0.41287563281365847	0.09105115786920737
C4orf48	-0.17681264075692574	-0.47457935528685047	5.992855029036705	0.3783091262674989	0.11778370581617104
C6orf1	-0.17449954999606085	0.14239299130478283	5.502038059642156	0.3122001688710947	0.1856005641034888
C6orf120	-0.10401912379583295	0.27407972990501533	3.4945221034030425	0.5691224465444518	0.022625199408741747
C6orf15	0.12998540597243566	1.4160282649572065	3.8120316030215973	0.7311031007272992	0.002711040929064046
C6orf226	-0.3611826110932974	-0.06125602988940762	4.497835611295962	0.43883821574610216	0.07428419021577859
C8orf31	0.14571738160955092	-0.882571392251061	1.2303678320218956	0.43423067931770387	0.07706856489317482
C8orf46	0.20223414546415622	0.4689539603807289	0.4714887835597137	0.5844705470946239	0.019217998486905752
C8orf58	0.14205327804226525	0.9533355508998833	3.1712527238698054	0.3616491094526705	0.13266843578665988
C8orf59	-0.16422018504733696	0.6966788573635229	6.8454287098215065	0.36252158237510157	0.13185441819002386
C8orf86	0.14766670465865553	0.6405867120513654	0.7568824553671291	0.476078416008079	0.054537886903894384
C9orf142	-0.15191668836088376	-0.7047106484787217	5.615632939090171	0.4649707938083264	0.05993751107656298
C9orf152	-0.10348639546765052	-0.8213347009275584	0.2244349240162689	0.5167338396164769	0.0379174162096122
C9orf173	0.34790144609283236	1.0733976330726158	0.7974093434862827	0.44857865066410363	0.06865562022879246
C9orf173-AS1	0.16273615372566616	1.309014648320415	0.44418326107635203	0.3105910368695992	0.18756256553944384
C9orf43	0.12748971694909128	0.958247230031165	0.1291303141916777	0.38704639738690083	0.11051575850175444
C9orf50	0.10628577975166567	1.8713842425792724	0.1034179722198641	0.4281419953458163	0.0808717648236641
C9orf85	-0.1752547294125313	0.6557982618895825	3.470840994831264	0.45950916206300463	0.06274043335386947
CA3	0.19492545975496417	0.3444240603160304	0.754201342096707	0.4328088575209885	0.07794396246010804
CA5BP1	0.25284833890912817	1.3872583397847664	2.0349492708443186	0.4974992898761551	0.045197567208802414
CACHD1	0.14124034100817387	1.661398159673042	2.2888976005396335	0.34833475001094305	0.1455829558948617
CACNA1B	0.11019304491305573	0.34988407623136136	0.33359302324806167	0.738570813421116	0.0023883244370510592
CACNG7	0.12895537743641394	1.5843294366449634	3.5660562810295433	0.34605915272764753	0.14788464919292843
CACTIN-AS1	0.18013494907814367	1.4346354942674344	0.3496625601145507	0.31255799978650767	0.18516644170845842
CADM2-AS2	0.28094030165446743	-0.49975029250396047	0.2655912690831835	0.4012976748270941	0.09941438990914764
CADM3	-0.1419281302699632	0.6182100143531565	4.023355548898371	0.5097789543550961	0.04043558996168106
CADM3-AS1	-0.15539484947496002	1.0720327965596081	3.6032751141376145	0.5230109767369091	0.03575096197775851
CADM4	-0.11328764285553745	0.5520894638787274	5.681925716110592	0.4205819322365043	0.08579542912486438
CALML4	0.10327201492403577	-0.8503236329241632	1.6407312739961952	0.44581444263754	0.07021799354255243
CAMK2G	0.10389588946776625	1.271919540437234	4.722463941185275	0.6705855183703575	0.006758372019474934
CAMK2N1	-0.11362854435681528	1.0354442355861724	7.20937311814695	0.5129993841111029	0.03925389866718032
CAMTA1	-0.17928990273633053	0.7936687280768483	5.524336805728765	0.5089936063644103	0.04072791362134576
CAND1	0.1304410488286437	0.00953588186883234	4.185059725611228	0.6224727189175859	0.01248152156608473
CAND1.11	0.3572329595542919	1.7402229622002492	0.4152167604988936	0.42450544236035437	0.08321191067306266
CAND2	0.14846401339655133	-0.1531296737026424	0.22107611866455412	0.31285927610509756	0.184801544416761
CARD19	-0.14817383233678905	0.3533370699588054	5.781277534914738	0.34924249670920204	0.1446726142175867
