gene	0	4	8	12	16	20	24	28	32	36	40	44
LOC284632	0.0	0.0	0.0	0.0	0.0	0.0866622	0.207915	0.0	0.0	0.0	0.0	0.0
GRHL3	0.516155	0.394623	0.35004	0.29902	0.723017	0.230984	0.0683874	0.203036	0.0861769	0.215507	0.174527	0.293749
NIPAL3	6.06205	6.56012	6.96697	6.31932	5.84374	5.74978	6.53768	6.5768	5.51963	6.73307	6.64038	6.72777
RCAN3	7.80756	7.87386	9.90304	7.96074	7.82086	5.97464	8.06007	6.91951	8.80984	8.73826	8.71643	7.82133
NCMAP	0.875023	1.34762	0.739191	0.255286	1.12965	1.01482	0.631215	0.659732	0.738592	0.517993	0.949597	0.453891
SRRM1	40.1647	33.4363	36.5076	34.4156	34.2769	36.8916	35.1853	36.6696	33.7877	30.6649	35.3585	32.5688
CLIC4	154.808	135.148	131.916	135.103	132.807	139.542	145.921	132.918	129.111	143.855	144.624	132.708
MIR4425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RHD	0.707076	2.28227	1.26136	0.530454	1.23407	1.32193	0.758168	1.06634	0.95556	0.897027	1.23815	1.30408
TMEM50A	55.8805	59.6389	62.9908	62.3236	58.787	60.9759	54.5941	64.7055	60.2854	57.3539	61.469	57.3355
TMEM57	9.85367	10.1742	10.3849	9.22206	9.53424	9.65528	8.32459	9.66529	10.1764	10.3384	8.36745	11.055
LDLRAP1	14.287	14.4119	14.4603	13.145	12.1051	12.9221	13.4384	13.5359	10.6723	13.4386	11.7629	13.9829
MAN1C1	1.20294	1.26084	1.38818	1.33843	1.58915	1.47528	1.34651	1.99843	1.503	1.21855	1.3914	1.24797
SEPN1	66.1018	60.8966	63.1816	71.2196	64.2278	57.9494	60.5453	63.5262	59.4761	60.3729	58.672	61.0323
MTFR1L	30.2089	26.5215	26.7636	29.6255	24.126	24.493	24.5698	24.2316	20.8187	23.605	24.8261	26.0696
