tracking_id	DMSO_CT00_0	DMSO_CT24_0	DMSO_CT04_0	DMSO_CT28_0	DMSO_CT08_0	DMSO_CT32_0	DMSO_CT12_0	DMSO_CT36_0	DMSO_CT16_0	DMSO_CT40_0	DMSO_CT20_0	DMSO_CT44_0
XLOC_004887	7.31399	5.84095	9.19613	4.93557	6.61973	8.14706	8.57536	7.69434	8.57265	7.02323	7.58666	6.61116
XLOC_004888	228.908	192.019	202.025	191.301	215.714	184.926	222.301	191.873	181.802	186.255	202.937	177.479
XLOC_004889	0.785393	0.485622	2.41916	2.6647	1.99042	2.90672	1.76762	3.18812	3.45287	2.4745	1.41691	1.90119
XLOC_004890	68.8311	76.3437	74.75	79.109	77.5556	75.3957	87.0703	84.0766	75.1404	78.6521	79.5742	74.1521
XLOC_004891	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_004892	33.323	39.0663	33.6605	37.0862	38.6472	35.0163	46.2592	43.092	37.8221	39.9413	38.0699	37.0562
XLOC_004893	31.2175	24.9142	27.7268	24.7166	28.6845	21.9005	26.8113	27.6261	27.3601	23.7903	24.8747	21.7902
XLOC_004894	64.0813	39.5276	48.8997	49.9902	54.0542	36.603	63.3337	49.5715	51.9706	46.4488	49.4308	48.295
XLOC_004895	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_004896	7.43788	9.50453	8.72766	9.98198	8.30788	10.0451	6.69594	8.49158	9.55036	9.58197	8.30667	9.2596
XLOC_004897	0	0.742126	0	2.17183	1.35189	1.40275	0	1.82703	5.0254	2.01681	1.85598	0
XLOC_004898	14.3959	12.7363	7.19794	12.6621	12.7708	11.2803	13.6219	16.446	12.653	15.2758	13.3143	13.7796
XLOC_004899	0.821631	0.127007	0.361541	0.743372	1.61954	0.640177	1.23279	0.521128	0.602032	0.0862892	0.423509	0.142065
XLOC_004900	0	0	0	0	0	0	0	0	0	0	0.259669	0.348422
XLOC_004901	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_004902	2.11291	2.37224	1.61481	2.03743	1.9728	2.59939	1.83541	3.30096	2.79372	2.59275	2.83739	1.96128
XLOC_004903	15.7282	15.3129	17.5507	14.3874	15.8559	15.4368	15.3197	14.6826	15.6085	14.7293	14.3106	15.8663
XLOC_004904	10.5462	9.17024	9.95805	11.2554	12.2966	10.145	11.0123	11.1484	9.73524	10.4957	10.9965	9.88117
XLOC_004905	16.38	15.0889	17.2889	16.325	15.1326	16.8348	12.2086	14.5616	15.6702	15.1115	14.8345	16.1903
XLOC_004906	41.3086	34.6372	34.7709	35.6691	35.8807	35.9083	43.1572	37.8605	38.9473	36.1046	40.975	30.9856
XLOC_004907	0.430392	0.920933	0.895523	0.365062	0.365194	1.01254	0.443968	0.28663	0.557962	0.474606	0.540748	0.549555
XLOC_004908	0.838399	1.1833	3.60899	1.06361	0.9546	1.44849	0.519587	1.13751	1.67125	1.60787	1.35282	1.24795
XLOC_004909	69.2029	81.531	69.1325	78.1797	69.7828	70.5675	78.238	75.3118	65.7819	70.9496	83.5849	78.6838
XLOC_004910	0	0	0	0	0	0	0	0	0	0	0	0
